Number|Station name                             |Latitude|Longitud|Stat|Elevat.|Distance (km)
 33030|GUMLU DAYS ROAD                          |-19.8775|147.6869|QLD |    7.0|1434.0
 33175|ETON VALE                                |-20.2144|147.7761|QLD |  144.0|1434.0
 48077|TOORANG                                  |-30.1500|146.6833|NSW |  121.9|1434.2
  4020|MARBLE BAR COMPARISON                    |-21.1756|119.7497|WA  |  182.3|1434.4
  4106|MARBLE BAR                               |-21.1756|119.7497|WA  |  182.3|1434.4
 49018|IRISH LORDS                              |-32.9500|144.8500|NSW |   93.6|1435.2
 48162|COBAR (KERGUNYAH)                        |-31.1667|146.1333|NSW |  263.7|1435.4
 26017|PADTHAWAY (MARCOLLAT)                    |-36.5010|140.3835|SA  |   36.0|1435.5
 25505|BORDERTOWN (KARRAWIRRA)                  |-36.3293|140.7112|SA  |   76.0|1435.5
 25536|BORDERTOWN                               |-36.3000|140.7667|SA  |   81.7|1435.6
 44093|WOOLERINA                                |-28.5333|147.4000|QLD |  151.3|1436.6
 25501|BORDERTOWN                               |-36.3125|140.7718|SA  |   81.0|1436.9
 43020|MITCHELL POST OFFICE                     |-26.4888|147.9777|QLD |  336.5|1438.0
 33176|GATTON VALE                              |-20.7781|147.9486|QLD |  130.0|1438.2
 25510|MUNDULLA                                 |-36.3667|140.7000|SA  |   70.0|1438.3
  4014|EGINBAH                                  |-20.8500|119.7667|WA  |  113.0|1438.9
 44142|RUTHERGLEN                               |-27.6844|147.6981|QLD |  224.0|1439.0
 78075|SERVICETON NORTH                         |-36.2131|140.9956|VIC |  122.0|1439.2
 76105|BOUNDARY BEND                            |-34.7164|143.1506|VIC |   58.0|1439.8
 31213|CAPE FLATTERY                            |-14.9672|145.3106|QLD |   18.5|1440.0
 12112|ALTONA                                   |-27.5389|119.9861|WA  |  500.0|1440.1
 48028|CHARLTON                                 |-30.2500|146.7000|NSW |  106.7|1440.2
 44053|MOURILYAN                                |-27.9628|147.6289|QLD |  194.6|1440.3
 49033|TRIDA (MURRUMBONG)                       |-32.9333|144.9333|NSW |   90.0|1440.5
 49011|CULPOTARO                                |-33.6000|144.3500|NSW |   88.4|1441.1
 26012|KINGSTON SE                              |-36.8309|139.8526|SA  |    7.0|1442.1
 48015|BREWARRINA HOSPITAL                      |-29.9614|146.8651|NSW |  115.0|1442.2
 34064|GLENDEN STATION                          |-21.3267|148.0944|QLD |  320.0|1442.4
 48083|WILBERTREE 2                             |-30.3000|146.7000|NSW |  125.0|1442.5
 35082|DEMIPIQUE                                |-22.9481|148.2750|QLD |  300.0|1442.7
 48068|QUANTAMBONE                              |-29.9000|146.9000|NSW |  115.4|1442.7
  4025|NIMINGARRA                               |-20.5000|119.8000|WA  |   77.2|1443.0
 28008|LOCKHART RIVER AIRPORT                   |-12.7850|143.3047|QLD |   18.5|1443.6
 12066|ORA BANDA                                |-30.3764|121.0633|WA  |  440.0|1443.6
 49055|OXLEY (WALMER DOWNS)                     |-34.1953|143.7916|NSW |   68.0|1443.7
 35231|LANGLEY DOWNS                            |-23.3781|148.3033|QLD |  189.0|1443.9
 12025|DEPOT SPRINGS                            |-27.9332|120.0577|WA  |  441.0|1444.2
 26010|KINGSTON SE (KEILIRA STATION)            |-36.7096|140.1623|SA  |   30.0|1444.3
 35112|WYNTOON                                  |-23.8772|148.3108|QLD |  170.0|1444.3
 12020|MUNJEROO                                 |-28.2333|120.1500|WA  |  411.2|1444.5
 48014|GOODOOGA (BRENDA)                        |-29.0299|147.3128|NSW |  137.0|1445.9
 48044|GNOMERY                                  |-29.1667|147.2667|NSW |  131.1|1446.7
 49057|COBAR (TARINGO DOWNS)                    |-32.2409|145.5530|NSW |  198.0|1446.7
 77054|YARTO                                    |-35.4667|142.3000|VIC |   78.5|1446.8
 33079|GUTHALUNGRA QLD SALT                     |-19.8667|147.8167|QLD |    4.3|1446.8
 49005|MOSSGIEL (BOONDARA)                      |-33.2833|144.7167|NSW |   91.4|1446.8
 33004|BOGIE RIVER                              |-20.3167|147.9333|QLD |  198.0|1446.9
 35032|GORDON DOWNS                             |-23.2333|148.3333|QLD |  216.0|1447.3
 48088|YIMKIN                                   |-31.2667|146.2167|NSW |  289.6|1447.7
 35107|METEOR DOWNS                             |-24.3822|148.3322|QLD |  250.0|1448.0
 25519|WOLSELEY                                 |-36.3654|140.9096|SA  |  110.0|1448.2
 26089|PADTHAWAY                                |-36.5958|140.4864|SA  |   37.0|1448.6
